# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 310:         3.596       51.442       8.00  VLISSINGEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# 
# STN,YYYYMMDD,   FG
# 
  310,20170823,   63
  310,20170824,   55
  310,20170825,   32
  310,20170826,   26
  310,20170827,   32
  310,20170828,   28
  310,20170829,   26
  310,20170830,   53
  310,20170831,   47
  310,20170901,   38
  310,20170902,   28
  310,20170903,   38
  310,20170904,   54
  310,20170905,   55
  310,20170906,   75
  310,20170907,   67
  310,20170908,  106
  310,20170909,   61
  310,20170910,   94
  310,20170911,  114
  310,20170912,   96
  310,20170913,  148
  310,20170914,   84
  310,20170915,   60
  310,20170916,   39
  310,20170917,   38
  310,20170918,   40
  310,20170919,   32
  310,20170920,   55
  310,20170921,   60
  310,20170922,   30
  310,20170923,   27
  310,20170924,   48
  310,20170925,   39
  310,20170926,   33
  310,20170927,   39
  310,20170928,   43
  310,20170929,   60
  310,20170930,   39
  310,20171001,   94
  310,20171002,  117
  310,20171003,   74
  310,20171004,   99
  310,20171005,  103
  310,20171006,   67
  310,20171007,   93
  310,20171008,   35
  310,20171009,   50
  310,20171010,   83
  310,20171011,  101
  310,20171012,   80
  310,20171013,   63
  310,20171014,   45
  310,20171015,   53
  310,20171016,   68
  310,20171017,   38
  310,20171018,   33
  310,20171019,   62
  310,20171020,  108
  310,20171021,  110
  310,20171022,  109
  310,20171023,   75
  310,20171024,   80
  310,20171025,   69
  310,20171026,   41
  310,20171027,   54
  310,20171028,  111
  310,20171029,   82
  310,20171030,   35
  310,20171031,   71
  310,20171101,   58
  310,20171102,   45
  310,20171103,   37
  310,20171104,   64
  310,20171105,   57
  310,20171106,   36
  310,20171107,   34
  310,20171108,   18
  310,20171109,   57
  310,20171110,   90
  310,20171111,   54
  310,20171112,   71
  310,20171113,   54
  310,20171114,   72
  310,20171115,   45
  310,20171116,   54
  310,20171117,   29
  310,20171118,   85
  310,20171119,   58
  310,20171120,   91
  310,20171121,  106
  310,20171122,  112
  310,20171123,  114
  310,20171124,   30
  310,20171125,   66
  310,20171126,   87
  310,20171127,  103
  310,20171128,   58
  310,20171129,   38
  310,20171130,   43
  310,20171201,   30
  310,20171202,   40
  310,20171203,   52
  310,20171204,   42
  310,20171205,   58
  310,20171206,   82
  310,20171207,  121
  310,20171208,  103
  310,20171209,   93
  310,20171210,  103
  310,20171211,   89
  310,20171212,   53
  310,20171213,  109
  310,20171214,  106
  310,20171215,   51
  310,20171216,   51
  310,20171217,   64
  310,20171218,   53
  310,20171219,   42
  310,20171220,   38
  310,20171221,   47
  310,20171222,   43
  310,20171223,   81
  310,20171224,   98
  310,20171225,  113
  310,20171226,  109
  310,20171227,   93
  310,20171228,   82
  310,20171229,  103
  310,20171230,  125
  310,20171231,  121
  380,20170101,   52
  380,20170102,   32
  380,20170103,   50
  380,20170104,   44
  380,20170105,   33
  380,20170106,   24
  380,20170107,   52
  380,20170108,   22
  380,20170109,   44
  380,20170110,   36
  380,20170111,   56
  380,20170112,   57
  380,20170113,   56
  380,20170114,   38
  380,20170115,   24
  380,20170116,   24
  380,20170117,   35
  380,20170118,   38
  380,20170119,   38
  380,20170120,   37
  380,20170121,   24
  380,20170122,   13
  380,20170123,   18
  380,20170124,   15
  380,20170125,   32
  380,20170126,   19
  380,20170127,   35
  380,20170128,   43
  380,20170129,   51
  380,20170130,   48
  380,20170131,   19
  380,20170201,   30
  380,20170202,   43
  380,20170203,   44
  380,20170204,   40
  380,20170205,   33
  380,20170206,   23
  380,20170207,   20
  380,20170208,   29
  380,20170209,   36
  380,20170210,   38
  380,20170211,   30
  380,20170212,   44
  380,20170213,   59
  380,20170214,   30
  380,20170215,   28
  380,20170216,   28
  380,20170217,   29
  380,20170218,   20
  380,20170219,   43
  380,20170220,   58
  380,20170221,   43
  380,20170222,   78
  380,20170223,   98
  380,20170224,   32
  380,20170225,   56
  380,20170226,   68
  380,20170227,   80
  380,20170228,   69
  380,20170301,   59
  380,20170302,   69
  380,20170303,   41
  380,20170304,   39
  380,20170305,   68
  380,20170306,   39
  380,20170307,   27
  380,20170308,   54
  380,20170309,   35
  380,20170310,   22
  380,20170311,   25
  380,20170312,   30
  380,20170313,   26
  380,20170314,   35
  380,20170315,   19
  380,20170316,   21
  380,20170317,   46
  380,20170318,   58
  380,20170319,   68
  380,20170320,   75
  380,20170321,   43
  380,20170322,   34
  380,20170323,   50
  380,20170324,   55
  380,20170325,   70
  380,20170326,   47
  380,20170327,   33
  380,20170328,   35
  380,20170329,   45
  380,20170330,   38
  380,20170331,   45
  380,20170401,   28
  380,20170402,   24
  380,20170403,   16
  380,20170404,   20
  380,20170405,   30
  380,20170406,   22
  380,20170407,   26
  380,20170408,   17
  380,20170409,   15
  380,20170410,   38
  380,20170411,   28
  380,20170412,   50
  380,20170413,   36
  380,20170414,   29
  380,20170415,   40
  380,20170416,   37
  380,20170417,   45
  380,20170418,   37
  380,20170419,   50
  380,20170420,   15
  380,20170421,   40
  380,20170422,   38
  380,20170423,   22
  380,20170424,   36
  380,20170425,   37
  380,20170426,   28
  380,20170427,   22
  380,20170428,   33
  380,20170429,   26
  380,20170430,   57
  380,20170501,   35
  380,20170502,   18
  380,20170503,   25
  380,20170504,   48
  380,20170505,   36
  380,20170506,   48
  380,20170507,   35
  380,20170508,   29
  380,20170509,   28
  380,20170510,   23
  380,20170511,   27
  380,20170512,   36
  380,20170513,   36
  380,20170514,   35
  380,20170515,   20
  380,20170516,   23
  380,20170517,   33
  380,20170518,   29
  380,20170519,   43
  380,20170520,   35
  380,20170521,   24
  380,20170522,   23
  380,20170523,   39
  380,20170524,   34
  380,20170525,   30
  380,20170526,   42
  380,20170527,   29
  380,20170528,   25
  380,20170529,   26
  380,20170530,   38
  380,20170531,   28
  380,20170601,   22
  380,20170602,   23
  380,20170603,   27
  380,20170604,   33
  380,20170605,   32
  380,20170606,   73
  380,20170607,   75
  380,20170608,   49
  380,20170609,   38
  380,20170610,   31
  380,20170611,   37
  380,20170612,   44
  380,20170613,   26
  380,20170614,   28
  380,20170615,   41
  380,20170616,   40
  380,20170617,   26
  380,20170618,   22
  380,20170619,   20
  380,20170620,   31
  380,20170621,   35
  380,20170622,   47
  380,20170623,   49
  380,20170624,   51
  380,20170625,   56
  380,20170626,   33
  380,20170627,   39
  380,20170628,   32
  380,20170629,   38
  380,20170630,   50
  380,20170701,   31
  380,20170702,   35
  380,20170703,   35
  380,20170704,   22
  380,20170705,   25
  380,20170706,   25
  380,20170707,   39
  380,20170708,   30
  380,20170709,   22
  380,20170710,   31
  380,20170711,   45
  380,20170712,   41
  380,20170713,   18
  380,20170714,   27
  380,20170715,   25
  380,20170716,   28
  380,20170717,   31
  380,20170718,   44
  380,20170719,   31
  380,20170720,   44
  380,20170721,   23
  380,20170722,   33
  380,20170723,   52
  380,20170724,   23
  380,20170725,   37
  380,20170726,   36
  380,20170727,   38
  380,20170728,   44
  380,20170729,   50
  380,20170730,   49
  380,20170731,   25
  380,20170801,   16
  380,20170802,   26
  380,20170803,   50
  380,20170804,   45
  380,20170805,   26
  380,20170806,   23
  380,20170807,   27
  380,20170808,   26
  380,20170809,   34
  380,20170810,   21
  380,20170811,   20
  380,20170812,   43
  380,20170813,   25
  380,20170814,   18
  380,20170815,   30
  380,20170816,   13
  380,20170817,   42
  380,20170818,   34
  380,20170819,   43
  380,20170820,   31
  380,20170821,   16
  380,20170822,   20
  380,20170823,   26
  380,20170824,   32
  380,20170825,   23
  380,20170826,   16
  380,20170827,   24
  380,20170828,   16
  380,20170829,   25
  380,20170830,   28
  380,20170831,   22
  380,20170901,   19
  380,20170902,   18
  380,20170903,   20
  380,20170904,   33
  380,20170905,   38
  380,20170906,   44
  380,20170907,   42
  380,20170908,   63
  380,20170909,   38
  380,20170910,   61
  380,20170911,   76
  380,20170912,   52
  380,20170913,   89
  380,20170914,   55
  380,20170915,   33
  380,20170916,   31
  380,20170917,   25
  380,20170918,   39
  380,20170919,   22
  380,20170920,   30
  380,20170921,   22
  380,20170922,   20
  380,20170923,   16
  380,20170924,   22
  380,20170925,   24
  380,20170926,   21
  380,20170927,   17
  380,20170928,   22
  380,20170929,   25
  380,20170930,   24
  380,20171001,   48
  380,20171002,   64
  380,20171003,   37
  380,20171004,   50
  380,20171005,   63
  380,20171006,   34
  380,20171007,   60
  380,20171008,   24
  380,20171009,   25
  380,20171010,   45
  380,20171011,   58
  380,20171012,   44
  380,20171013,   37
  380,20171014,   32
  380,20171015,   30
  380,20171016,   44
  380,20171017,   20
  380,20171018,   22
  380,20171019,   29
  380,20171020,   64
  380,20171021,   61
  380,20171022,   61
  380,20171023,   44
  380,20171024,   45
  380,20171025,   42
  380,20171026,   25
  380,20171027,   30
  380,20171028,   53
  380,20171029,   45
  380,20171030,   20
  380,20171031,   43
  380,20171101,   38
  380,20171102,   36
  380,20171103,   24
  380,20171104,   46
  380,20171105,   30
  380,20171106,   15
  380,20171107,   18
  380,20171108,   15
  380,20171109,   35
  380,20171110,   48
  380,20171111,   30
  380,20171112,   33
  380,20171113,   32
  380,20171114,   45
  380,20171115,   30
  380,20171116,   29
  380,20171117,   21
  380,20171118,   46
  380,20171119,   33
  380,20171120,   52
  380,20171121,   63
  380,20171122,   66
  380,20171123,   73
  380,20171124,   23
  380,20171125,   32
  380,20171126,   48
  380,20171127,   73
  380,20171128,   35
  380,20171129,   24
  380,20171130,   26
  380,20171201,   29
  380,20171202,   17
  380,20171203,   49
  380,20171204,   30
  380,20171205,   41
  380,20171206,   49
  380,20171207,   79
  380,20171208,   48
  380,20171209,   57
  380,20171210,   73
  380,20171211,   51
  380,20171212,   44
  380,20171213,   79
  380,20171214,   64
  380,20171215,   30
  380,20171216,   27
  380,20171217,   43
  380,20171218,   40
  380,20171219,   25
  380,20171220,   24
  380,20171221,   26
  380,20171222,   24
  380,20171223,   50
  380,20171224,   65
  380,20171225,   68
  380,20171226,   67
  380,20171227,   53
  380,20171228,   44
  380,20171229,   60
  380,20171230,   66
  380,20171231,   86
